text,neutral,positive,negative,narrator,y
"του Πρίαμου το καστρί, με το καλό να γύρτε στην πατρίδα'",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"λυτρώστε όμως κι εμέ την κόρη μου, την ξαγορά δεχτείτε",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
Οι Αργίτες οι άλλοι ευτύς με μια φωνή να σεβαστούν έκραξαν,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι ευλαβηθείτε τον Απόλλωνα το μακροσαγιτάρη.»,0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"το λειτουργό, και τα περίλαμπρα ν᾿ αποδεχτούνε δώρα·",0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"όμως του Ατρείδη του Αγαμέμνονα δεν άρεσε η βουλή τους,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"μον᾿ τον κακόδιωχνε, και του 'ριχνε βαριά φοβέρα ακόμα:",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]"
"«Το νου σου, εγώ μη σ᾿ έβρω, γέροντα, στα βαθουλά καράβια,",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"για τώρα εδώ να κοντοστέκεσαι για να διαγέρνεις πάλε,",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]"
μη ουδέ ραβδί κι ουδέ και στέφανα του Φοίβου σε γλιτώσουν.,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"Δε λευτερώνω εγώ την κόρη σου, πριν μου γεράσει πρώτα",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"στο Άργος, μακριά από την πατρίδα της, στο αρχοντικό μου μέσα,",0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]"
"στον αργαλειό τη μέρα, ταίρι μου τη νύχτα στο κρεβάτι.",0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]"
"Μον᾿ τράβα, μη μου ανάβεις τα αίματα, γερός αv θες να φύγεις.»",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"Είπε, κι ο γέροντας φοβήθηκε κι υπάκουσε στο λόγο᾿",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"πήρε βουβός του πολυτάραχου γιαλού τον άμμον άμμο,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"κι ως μάκρυνε, το ρήγα Απόλλωνα, της ομορφομαλλούσας",0.375,0.375,0.125,0.125,"[0.375, 0.375, 0.125, 0.125]"
"Λητώς το γιο, με θέρμη ο γέροντας ν᾿ ανακαλιέται επήρε:",0.5,0.25,0.125,0.125,"[0.5, 0.25, 0.125, 0.125]"
"« Επάκουσέ μου, ασημοδόξαρε, που κυβερνάς τη Χρύσα",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]"
"και την τρισάγια Κίλλα, κι άσφαλτα την Τένεδο αφεντεύεις,",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]"
"Ποντικοδαίμονα, αν σου στέγασα ναό χαριτωμένο",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]"
"κάποτε ως τώρα εγώ, για αν σου 'καψα παχιά μεριά ποτέ μου,",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
"γιδίσια για ταυρίσια, επάκουσε, και δώσε να πλερώσουν",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
οι Δαναοί με τις σαγίτες σου τα δάκρυα που 'χω χύσει!»,0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"Είπε, και την ευκή του επάκουσεν ο Απόλλωνας ο Φοίβος,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"κι απ᾿ την κορφή του Ολύμπου εχύθηκε θυμό γεμάτος, κι είχε",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
δοξάρι και κλειστό στις πλάτες του περάσει σαϊτολόγο',0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"κι αντιβροντούσαν οι σαγίτες του στις πλάτες, μανιασμένος",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
καθώς τραβούσε· και κατέβαινε σαν τη νυχτιά τη μαύρη.,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"Κάθισε αλάργα απ᾿ τα πλεούμενα κι ευτύς σαγίτα ρίχνει,",0.125,0.375,0.375,0.125,"[0.125, 0.375, 0.375, 0.125]"
και το ασημένιο του αντιδόνησε τρομαχτικά δοξάρι.,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"Τις μούλες πρώτα πρώτα δόξευε και τους γοργούς τους σκύλους,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
μετά τις μυτερές του ρίχνοντας σαγίτες τους ανθρώπους,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
σαγίτευε᾿ κι άναβαν άπαυτα για τους νεκρούς οι φλόγες.,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"Μέρες εννιά απολιόταν πάνω τους το θείο σαγιτοβόλι,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι απά στις δέκα πια τη σύναξη συγκάλεσε ο Αχιλλέας',0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
"η Ήρα, η θεά η κρουσταλλοβράχιονη, τον είχε λέω φωτίσει,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"περίσσια που γνοιαζόταν, βλέποντας οι Αργίτες να πεθαίνουν.",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"Κι εκείνοι τότε αφού μαζώχτηκαν κι όλοι μαζί βρέθηκαν,",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
πήρε ο Αχιλλέας ο φτεροπόδαρος κι ορθός μιλούσε ομπρός τους:,0.25,0.625,0.0,0.125,"[0.25, 0.625, 0.0, 0.125]"
"«Ατρείδη, τώρα θα γυρίσουμε λέω στην πατρίδα πίσω",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"με άδεια τα χέρια, αν ξεγλιτώσουμε μονάχα από το Χάρο,",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
καθώς η λοιμική κι ο πόλεμος μαζί μας ξεκληρίζουν.,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"Μον᾿ έλα, κάποιον να ρωτήσουμε για λειτουργό για μάντη,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
"για ονειροκρίτη ακόμα—τ᾿ όνειρο, κι εκείνο ο Δίας το στέλνει—",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
"να πει, γιατί μαθές ο Απόλλωνας σε τόση οργή μας έχει;",0.25,0.25,0.375,0.125,"[0.25, 0.25, 0.375, 0.125]"
"Μήνα κανένα τάμα του 'λειψε, μήνα τρανή θυσία;",0.375,0.125,0.375,0.125,"[0.375, 0.125, 0.375, 0.125]"
Μπας και την κνίσα από αψεγάδιαστα γίδια κι αρνιά θελήσει,0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
να προσδεχτεί κι απ᾿ τα κεφάλια μας το χαλασμό να διώξει.»,0.625,0.375,0.0,0.0,"[0.625, 0.375, 0.0, 0.0]"
"Είπε και κάθισε· του Θέστορα σηκώθη ο γιος, ο Κάλχας,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"τότε μπροστά τους, που απ᾿ τους μάντηδες ο πιο τρανός λογιόταν,",0.25,0.625,0.0,0.125,"[0.25, 0.625, 0.0, 0.125]"
"και όλα τα κάτεχε, μελλούμενα και τωρινά και πρώτα᾿",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]"
"της Τροίας το δρόμο με την τέχνη του τη μαντική, το δώρο",0.375,0.5,0.0,0.125,"[0.375, 0.5, 0.0, 0.125]"
"του Φοίβου Απόλλωνα, στ᾿ Αργίτικα καράβια είχε ορμηνέψει.",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
και τότε μίλησε καλόγνωμος άναμεσό τους κι εϊπε:,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]"
"« Αρχοντικέ Αχιλλέα, προστάζεις με να σας ξηγήσω τώρα .",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
του ρήγα Απόλλωνα τη μάνητα του μακροσαγιτάρη.,0.5,0.25,0.125,0.125,"[0.5, 0.25, 0.125, 0.125]"
"Ναι, θα μιλήσω, μα στοχάσου το και συ πιο πριν κι ορκίσου",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
με λόγια και με χέρια πρόθυμα πώς θα με διαφεντέψεις.,0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
"Φοβάμαι, θα θυμώσω κάποιον μας, πού τους Αργίτες όλους",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
περίσσια ξεπερνά στη δύναμη και του αγρικοϋν το λόγο',0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
τι αλί στον αχαμνό που τα 'βαλε τρανός μαζί του ρήγας!,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"Κι αν καταπιεί μαθές τη μάνητα προσώρας και σωπάσει,",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
"όμως καιρό κρατάει το χόλιασμα, ξεγδικιωμό ως να πάρει,",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
βαθιά στα φρένα᾿ τώρα λόγιασε καΐ συ αν θα με γλιτώσεις.»,0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
Τότε ο Αχιλλέας ο φτεροπόδαρος του απηλογήθη κι είπε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"« Κουράγιο, κι άφοβα φανέρωσε τη θεία βουλή πού ξέρεις·",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"τι άκου, ποτέ, μα τον Απόλλωνα, που εσύ για τους Αργίτες",0.5,0.375,0.0,0.125,"[0.5, 0.375, 0.0, 0.125]"
"ανακαλιέσαι, ξεδιαλύνοντας τις θείες βουλές του, Κάλχα,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]"
"ποτέ όσο ζω κι όσο τα μάτια μου τη γη θωρούν ετούτη,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
κανένας Δαναός απάνω σου δε θα σηκώσει χέρι,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"βαρύ στα βαθουλά καράβια μας, κι ακόμα αν νοματίσεις",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"τον Αγαμέμνονα, που πέτεται πώς είναι απ᾿ όλους πρώτος.»",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
Κι ο άψεγος μάντης ξεθαρρεύοντας απηλογήθη τότε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"« Μήτε κανένα τάμα του 'λειψε μηδέ τρανή θυσία,",0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.0, 0.0]"
"χολιάζει μόνο που ο Αγαμέμνονας το Χρύση δε σεβάστη,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
κι ουδέ λευτέρωσε την κόρη του κι ουδέ τα λύτρα εδέχτη.,0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
Γι᾿ αυτό με συφορές μας έδειρε και θα μας δείρει ακόμα,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"ο Μακρορίχτης, κι ουδ᾿ απ᾿ τ᾿ άπρεπο κακό θα μας γλιτώσει,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
προτού την αστρομάτα δώσουμε την κορασιά στον κύρη,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"πίσω, ξαπλέρωτη, ξαγόραστη, κι ιερή στη Χρύσα πάμε",0.5,0.375,0.125,0.0,"[0.5, 0.375, 0.125, 0.0]"
"θυσία τρανή· να τον γλυκάνουμε, μπορεί ν᾿ αλλάξει γνώμη.»",0.625,0.375,0.0,0.0,"[0.625, 0.375, 0.0, 0.0]"
"Ως είπε εκείνος τούτα, κάθισε, και τότε ασκώθη ομπρός τους",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"ο πρωταφέντης Αγαμέμνονας, ο γαύρος γιος του Ατρέα,",0.375,0.125,0.375,0.125,"[0.375, 0.125, 0.375, 0.125]"
"χολή γεμάτος, και ξεχείλιζαν τα σκοτεινά του σπλάχνα",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"από το πάθος, και τα μάτια του σαν τη φωτιά ξαστράφταν.",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
Στον Κάλχα πρώτα αγριοκοιτώντας τον γυρνά κι απολογιέται:,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"« Μάντη κακέ, που λόγο πρόσχαρο δε μου 'χεις πει ποτέ σου!",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
Πάντα η καρδιά σου εσένα χαίρεται κακό να προφητεύει',0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
εσύ καλό μηδέ ξεστόμισες μηδ᾿ έκαμες ποτέ σου.,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
Έτσι και τώρα ξεδιαλύνοντας τις θείες βουλές φωνάζεις,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"μπρος στους Αργίτες πως τα πάθη τους τα στέλνει ο Μακρορίχτης,",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]"
γιατί το πλούσιο εγώ ξαντίμεμα της κόρης απ᾿ τη Χρύσα,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
"δεν εστρεξα, μονάχα θέλησα να την κρατώ κοντά μου·",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"τι κι απ᾿ την ίδια τη γυναίκα μου, την Κλυταιμήστρα, κάλλιο",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
μου αρέσει αλήθεια᾿ τι χειρότερη δεν είναι τούτη μήτε,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
στην ελικιά μηδέ στο ανάριμμα μηδέ στο νου ή στα χέρια.,0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"Κι όμως, αν πρέπει, παίρνω απόφαση και τήνε δίνω πίσω'",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"να μην αφανιστεί το ασκέρι μας, να μείνει ακέριο θέλω.",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
Μα γι᾿ άλλο αρχοντομοίρι γρήγορα γνοιαστείτε᾿ δεν ταιριάζει,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
δίχως μοιράδι τώρα απ᾿ όλους μας να μένω εγώ μονάχα',0.25,0.0,0.75,0.0,"[0.25, 0.0, 0.75, 0.0]"
"τι φεύγει αλλού το αρχοντομοίρι μου, το βλέπετε κι ατοί σας.»",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]"
Τότε ο Αχιλλέας ο γοργοπόδαρος του απηλογήθη κι είπε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"«Υγιέ του Ατρέα τρανέ κι απ᾿ όλους μας ο πιο συφερτολόγος,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
και πώς οι Αργίτες οι τρανόψυχοι να βρουν αρχοντομοίρι,0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
"να σου το δώσουν; Βιος αμοίραστο δεν έχουμε, όσο ξέρω'",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"τι όσα απ᾿ τα κάστρα διαγουμίσαμε, τα μοιραστήκαμε όλα,",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
κι ούτε θα ταίριαζε το ασκέρι μας να τα μαζέψει πάλε.,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"Μα τώρα τούτη εσύ λευτέρωσε για του θεού τη χάρη,",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"κι εμείς διπλά να σε ξοφλήσουμε και τρίδιπλα, αν μια μέρα",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
μας δώσει ο Δίας η καλοτείχιστη να γίνει Τροία δική μας.»,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
Μα ο πρωταφέντης Αγαμέμνονας γυρνώντας του άποκρίθη:,0.375,0.25,0.125,0.25,"[0.375, 0.25, 0.125, 0.25]"
"«Παλικαριά, Αχιλλέα θεόμορφε, τρανή κι αν έχεις, όχι,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
δε με γελάς κι ουδέ πλανεύουμαι κι ουδέ μου αλλάζεις γνώμη.,0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]"
Να 'χεις εσύ το αρχοντομοίρι σου κι εγώ να μένω θέλεις,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"με ολάδεια χέρια, κι ορμηνεύεις με να δώσω ετούτη πίσω;",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]"
"Τώρα αν οι Αργίτες οι τρανόψυχοι καινούργιο αρχοντομοίρι,",0.25,0.125,0.5,0.125,"[0.25, 0.125, 0.5, 0.125]"
"της αρεσκιάς μου, μου ξεδιάλεγαν, να σοζυγιάζει το άλλο...",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"Μ᾿ αν δε μου δώσουνε μονάχοι τους μοιράδι, θα 'ρθω ατός μου",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]"
για το δικό σου για και του Αίαντα για του Οδυσσέα να πάρω',0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"κι όποιος με ιδεί μπροστά του, σίγουρα βαρύ πολύ θα του 'ρθει!",0.125,0.0,0.875,0.0,"[0.125, 0.0, 0.875, 0.0]"
"Όμως για τούτα δε βιαζόμαστε, τα ξαναλέμε᾿ τώρα",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
"μαύρο στην άγια, ελάτε, θάλασσα να ρίξουμε καράβι,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"και κουπολάτες να μαζώξουμε ξεδιαλεχτούς, κι ακόμα",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
μέσα τρανή θυσία να βάλουμε᾿ κι ας ανεβεί κι ατή της,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"η Χρυσοπούλα η ροδομάγουλη, κι απ᾿ τους ρηγάδες ένας",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"για ο Ιδομενέας για κι ο Αίας κύβερνος για κι ο Οδυσσέας ας γένει,",0.375,0.0,0.625,0.0,"[0.375, 0.0, 0.625, 0.0]"
"για, αν θες, κι εσύ, Αχιλλέα, ν᾿ ανέβαινες, που τρέμει ο κόσμος όλος'",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
μπορεί με τις θυσίες να μέρωνες το Μακροσαγιτάρη.»,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
Κι είπε ο Αχιλλέας ο γοργοπόδαρος ταυροκοιτάζοντάς τον:,0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"«Ωχού μου, από κορφής ξαδιάντροπε και συφεροντονούση!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
Αργίτης πως κανείς στο λόγο σου με προθυμία ν᾿ ακούσει,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"και να κινήσει, για στον πόλεμο να βγει παλικαρίσια;",0.25,0.375,0.25,0.125,"[0.25, 0.375, 0.25, 0.125]"
"Δεν τα 'χω εγώ με τους αντρόψυχους τους Τρώες αλήθεια, που 'ρθα",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
να πολεμήσω εδώ᾿ σε τίποτα δε μου 'φταιξαν εμένα',0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"δε μου άρπαξαν ποτέ τα βόδια μου κι ουδέ τ᾿ αλόγατά μου,",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"κι ουδέ στη Φθία την παχιοχώματη, την ανθρωποθροφούσα,",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"ποτέ τους τα σπαρτά μου ερήμαξαν, τι πλήθια ανάμεσα μας",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
βουνά βρίσκονται μακρογίσκιωτα και θάλασσα όλο λάλο.,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"Μον 'σένα, αδιάντροπε, άκλουθήξαμε, να χαίρεται η καρδιά σου,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"που του Μενέλαου διαφεντεύουμε και τη δικιά σου, σκύλε,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"τιμή. Μα εσύ γι'αυτά δε γνοιάζεσαι, δεν τα ψηφάς, κι ατός σου",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"πίσω να πάρεις το μοιράδι μου με φοβερίζεις τώρα,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
που οι Αργίτες μου 'δωκαν και μόχτησα βαριά να το κερδέψω.,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"Ποτέ δεν είν᾿ τοό αρχοντομοίρι μου σαν το δικό σου, σύντας",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
κάποιο πολύψυχο πατήσουμε των Τρωών οι Αργίτες κάστρο',0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
μα η πιο βαριά του πολυτάραχου πολέμου μπόρα πέφτει,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"στα χέρια ετούτα, κι όταν υστέρα στη μοιρασιά βρεθούμε,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"πάντα δικό σου το τρανότερο, κι εγώ στα πλοία διαγέρνω",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"μικρό κρατώντας, μα καλόδεχτο, σα ρέψω πια απ᾿ τη μάχη.",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
Τώρα στη Φθία θα πάω᾿ καλύτερα χίλιες φορές αλήθεια,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"να γύρω σπίτι μου με τ᾿ άρμενα, κι ουδέ στο νου μου το 'χω",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"αψήφιστος να μένω εδώ, αγαθά και βιος να σου σωριάζω.»",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
Κι ο πρωταφέντης Αγαμέμνονας του απηλογήθη τότε:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"«Και δε μισεύεις πίσω, αν σ᾿ έπιασε του μισεμού λαχτάρα!",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"Δε σου προσπέφτω εγώ, για χάρη μου να μείνεις᾿ έχω κι άλλους",0.0,0.125,0.75,0.125,"[0.0, 0.125, 0.75, 0.125]"
